business_name,city,state,source_url,phone,website
Romaguera-Crona,Gwenborough,,https://jsonplaceholder.typicode.com/users,1-770-736-8031 x56442,https://hildegard.org/
Deckow-Crist,Wisokyburgh,,https://jsonplaceholder.typicode.com/users,010-692-6593 x09125,https://anastasia.net/
Romaguera-Jacobson,McKenziehaven,,https://jsonplaceholder.typicode.com/users,1-463-123-4447,https://ramiro.info/
Robel-Corkery,South Elvis,,https://jsonplaceholder.typicode.com/users,493-170-9623 x156,https://kale.biz/
Keebler LLC,Roscoeview,,https://jsonplaceholder.typicode.com/users,(254)954-1289,https://demarco.info/
Considine-Lockman,South Christy,,https://jsonplaceholder.typicode.com/users,1-477-935-8478 x6430,https://ola.org/
Johns Group,Howemouth,,https://jsonplaceholder.typicode.com/users,210.067.6132,https://elvis.io/
Abernathy Group,Aliyaview,,https://jsonplaceholder.typicode.com/users,586.493.6943 x140,https://jacynthe.com/
Yost and Sons,Bartholomebury,,https://jsonplaceholder.typicode.com/users,(775)976-6794 x41206,https://conrad.com/
Hoeger LLC,Lebsackbury,,https://jsonplaceholder.typicode.com/users,024-648-3804,https://ambrose.net/
